filename,captured_local,utc_offset,latitude,longitude,altitude_m,maps_url,timemark_tags,camera_make,camera_model,software,width,height
2026-08-31 17.17.05_.jpg,2026-08-31 17:17:05,+02:00,31.7822465,35.2194653,815.2,"https://www.google.com/maps?q=31.7822465,35.2194653",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.17.06_.jpg,2026-08-31 17:17:06,+02:00,31.7822465,35.2194653,815.2,"https://www.google.com/maps?q=31.7822465,35.2194653",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.17.16_.jpg,2026-08-31 17:17:16,+02:00,31.7822465,35.2194653,815.2,"https://www.google.com/maps?q=31.7822465,35.2194653",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.17.20_.jpg,2026-08-31 17:17:20,+02:00,31.7822465,35.2194653,815.2,"https://www.google.com/maps?q=31.7822465,35.2194653",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.26.10_.jpg,2026-08-31 17:26:10,+02:00,31.7823854,35.2189826,815.9,"https://www.google.com/maps?q=31.7823854,35.2189826",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.26.18_.jpg,2026-08-31 17:26:18,+02:00,31.7823854,35.2189826,815.9,"https://www.google.com/maps?q=31.7823854,35.2189826",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.28.04_.jpg,2026-08-31 17:28:04,+02:00,31.7833472,35.2176285,820.2,"https://www.google.com/maps?q=31.7833472,35.2176285",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.28.13_.jpg,2026-08-31 17:28:13,+02:00,31.7833472,35.2176285,820.2,"https://www.google.com/maps?q=31.7833472,35.2176285",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.28.37_.jpg,2026-08-31 17:28:37,+02:00,31.7834375,35.2173403,820.9,"https://www.google.com/maps?q=31.7834375,35.2173403",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.28.50_.jpg,2026-08-31 17:28:50,+02:00,31.7835417,35.2171597,821.6,"https://www.google.com/maps?q=31.7835417,35.2171597",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.29.15_.jpg,2026-08-31 17:29:15,+02:00,31.7837361,35.2167639,824.6,"https://www.google.com/maps?q=31.7837361,35.2167639",,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.29.47__(Poster-Rebbe)_(Quantity-Single).jpg,2026-08-31 17:29:47,+02:00,31.7839444,35.2162937,826.6,"https://www.google.com/maps?q=31.7839444,35.2162937",Poster=Rebbe;Quantity=Single,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
2026-08-31 17.30.12__(Poster-Rebbe).jpg,2026-08-31 17:30:12,+02:00,31.7841458,35.2159271,828.8,"https://www.google.com/maps?q=31.7841458,35.2159271",Poster=Rebbe,OnePlus,CPH2493,Timemark v10.0.210,1920,2560
