id,project,batch,photo,captured_date,captured_time,latitude,longitude,altitude_m,maps_url,directions_url,location_id,location_photos,location_posters,timemark_tags,duplicate_of,poster_count,form,mounting,condition,status,reported_date,reported_by,report_ref,notes
rebbe-posters-3108-171705,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.17.05_.jpg,2026-08-31,17:17:05,31.7822465,35.2194653,815.2,"https://www.google.com/maps/search/?api=1&query=31.7822465,35.2194653","https://www.google.com/maps/dir/?api=1&destination=31.7822465,35.2194653",L1,4,16,,,8,wheatpaste,hoarding,intact,reported,2026-08-31,Daniel Rosehill,,Row of repeated Yechi sheets along the top rail of the mural hoarding; 8 boxed in the annotations.
rebbe-posters-3108-171706,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.17.06_.jpg,2026-08-31,17:17:06,31.7822465,35.2194653,815.2,"https://www.google.com/maps/search/?api=1&query=31.7822465,35.2194653","https://www.google.com/maps/dir/?api=1&destination=31.7822465,35.2194653",L1,4,16,,,3,sticker,hoarding,intact,reported,2026-08-31,Daniel Rosehill,,One sticker on the pale-blue construction hoarding right of a lamppost; a second pale-yellow rectangle at the far left is too blurred to identify and is not counted.
rebbe-posters-3108-171716,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.17.16_.jpg,2026-08-31,17:17:16,31.7822465,35.2194653,815.2,"https://www.google.com/maps/search/?api=1&query=31.7822465,35.2194653","https://www.google.com/maps/dir/?api=1&destination=31.7822465,35.2194653",L1,4,16,,,4,wheatpaste,hoarding,intact,reported,2026-08-31,Daniel Rosehill,,Four identical sheets in a row on the Fattal site hoarding.
rebbe-posters-3108-171720,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.17.20_.jpg,2026-08-31,17:17:20,31.7822465,35.2194653,815.2,"https://www.google.com/maps/search/?api=1&query=31.7822465,35.2194653","https://www.google.com/maps/dir/?api=1&destination=31.7822465,35.2194653",L1,4,16,,,1,sticker,lamppost,sprayed,reported,2026-08-31,Daniel Rosehill,,Pair on one lamppost; the lower sticker has been over-sprayed black.
rebbe-posters-3108-172610,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.26.10_.jpg,2026-08-31,17:26:10,31.7823854,35.2189826,815.9,"https://www.google.com/maps/search/?api=1&query=31.7823854,35.2189826","https://www.google.com/maps/dir/?api=1&destination=31.7823854,35.2189826",L2,2,3,,,2,mixed,wall,intact,reported,2026-08-31,Daniel Rosehill,,"Large yellow sheet on the doorway arch, plus further stickers on the hoarding to the right; 2 boxed in the annotations."
rebbe-posters-3108-172618,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.26.18_.jpg,2026-08-31,17:26:18,31.7823854,35.2189826,815.9,"https://www.google.com/maps/search/?api=1&query=31.7823854,35.2189826","https://www.google.com/maps/dir/?api=1&destination=31.7823854,35.2189826",L2,2,3,,,1,sticker,lamppost,torn,reported,2026-08-31,Daniel Rosehill,,"Single sticker on the lamppost, peeling at the edge. 47x69 px in frame."
rebbe-posters-3108-172804,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.28.04_.jpg,2026-08-31,17:28:04,31.7833472,35.2176285,820.2,"https://www.google.com/maps/search/?api=1&query=31.7833472,35.2176285","https://www.google.com/maps/dir/?api=1&destination=31.7833472,35.2176285",L3,2,1,,,1,sticker,lamppost,sprayed,reported,2026-08-31,Daniel Rosehill,,"Two on the lamppost outside ZOYA / R STUB; the upper has a red paint blob across portrait and slogan, the lower is intact. Same pole as 17.28.13."
rebbe-posters-3108-172813,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.28.13_.jpg,2026-08-31,17:28:13,31.7833472,35.2176285,820.2,"https://www.google.com/maps/search/?api=1&query=31.7833472,35.2176285","https://www.google.com/maps/dir/?api=1&destination=31.7833472,35.2176285",L3,2,1,,rebbe-posters-3108-172804,1,sticker,lamppost,sprayed,reported,2026-08-31,Daniel Rosehill,,"Closer view of the same pole and same two instances as 17.28.04 - do not double count. Pasted paper rather than vinyl, with an event footer band."
rebbe-posters-3108-172837,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.28.37_.jpg,2026-08-31,17:28:37,31.7834375,35.2173403,820.9,"https://www.google.com/maps/search/?api=1&query=31.7834375,35.2173403","https://www.google.com/maps/dir/?api=1&destination=31.7834375,35.2173403",L4,1,1,,,1,sticker,lamppost,intact,reported,2026-08-31,Daniel Rosehill,,"One wrapped around a lamppost further west on the pedestrian mall; undamaged, with unrelated utility stickers below."
rebbe-posters-3108-172850,rebbe-posters,3108,photos/rebbe-posters/3108/2026-08-31 17.28.50_.jpg,2026-08-31,17:28:50,31.7835417,35.2171597,821.6,"https://www.google.com/maps/search/?api=1&query=31.7835417,35.2171597","https://www.google.com/maps/dir/?api=1&destination=31.7835417,35.2171597",L5,1,1,,,1,sticker,lamppost,intact,reported,2026-08-31,Daniel Rosehill,,"One high on a lamppost, unpainted and untorn; sun glare blows out its left third and older paper residue sits on the pole below."
